Sample Name,IV_curve_3H_XYZL,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,3,s,
Delay Between Measurements,3,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,16/04/26 17:32:07,,
Duration,00:02:56,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-2,0,
Stop,2,N/A,
Step,0.08,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-1.64021685122862E-10,-1.99995946884155,
-1.52738266478991E-10,-1.91998720169067,
-1.50762957673578E-10,-1.83997297286987,
-1.4880185972288E-10,-1.75998783111572,
-1.46911816045758E-10,-1.67997407913208,
-1.44652290146041E-10,-1.59999799728394,
-1.42634348776483E-10,-1.51997852325439,
-1.39394273901416E-10,-1.44000244140625,
-1.35173650051001E-10,-1.35998058319092,
-1.30668809106282E-10,-1.28000354766846,
-1.2626344414457E-10,-1.19999170303345,
-1.20095933198172E-10,-1.12000226974487,
-1.13800524559338E-10,-1.03999805450439,
-1.06311404124426E-10,-0.960007667541504,
-9.98170435195789E-11,-0.880003452301025,
-9.20721276997938E-11,-0.800009250640869,
-8.45403747007367E-11,-0.719996452331543,
-7.64828200772172E-11,-0.639982223510742,
-6.89510670781601E-11,-0.560001850128174,
-5.94866378378356E-11,-0.479982852935791,
-5.18127762916265E-11,-0.400002002716064,
-4.24336121795932E-11,-0.319983243942261,
-3.35518279825919E-11,-0.239994525909424,
-2.31494823310641E-11,-0.159997940063477,
-1.35145228341571E-11,-0.0799984931945801,
-3.92219590139575E-12,1.19209289550781E-06,
7.29016846889863E-12,0.0800087451934814,
1.94404492503963E-11,0.160009145736694,
3.5456082514429E-11,0.239996910095215,
5.25233190273866E-11,0.320006370544434,
7.27879978512647E-11,0.400006771087646,
9.49569312069798E-11,0.480005502700806,
1.18319576358772E-10,0.560006380081177,
1.43572265187686E-10,0.64000678062439,
1.69990244103246E-10,0.720008850097656,
1.97104554899852E-10,0.800004482269287,
2.26364704758453E-10,0.880017042160034,
2.56719090430124E-10,0.960004568099976,
2.88409296445025E-10,1.04001402854919,
3.21620063914452E-10,1.12000489234924,
3.57360363523185E-10,1.20001196861267,
3.9288750031119E-10,1.28000593185425,
4.29565716331126E-10,1.36001372337341,
4.68048710899893E-10,1.44001173973083,
5.07341724187427E-10,1.52000617980957,
5.4734528021072E-10,1.60000872612,
5.90418380852498E-10,1.6800080537796,
6.33917807135731E-10,1.76000475883484,
6.7959149419039E-10,1.84000647068024,
7.25734139450651E-10,1.92000460624695,
7.72573116591957E-10,2.00000667572021,
