Sample Name,IV_curve_3H_XYZL,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,3,s,
Delay Between Measurements,3,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,16/04/26 16:22:20,,
Duration,00:03:04,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-2,0,
Stop,2,N/A,
Step,0.08,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-2.48022047344421E-10,-1.99995851516724,
-2.46558329308755E-10,-1.91998529434204,
-2.4479618332407E-10,-1.83997011184692,
-2.43275621869543E-10,-1.75998544692993,
-2.4094504169625E-10,-1.67997312545776,
-2.36255459640233E-10,-1.5999960899353,
-2.3283064365387E-10,-1.51997756958008,
-2.26933138947061E-10,-1.44000339508057,
-2.18946638597117E-10,-1.35998058319092,
-2.10235384656698E-10,-1.2800030708313,
-2.01566763280425E-10,-1.19999074935913,
-1.89572801900795E-10,-1.12000226974487,
-1.76399339579802E-10,-1.03999519348145,
-1.64575908456754E-10,-0.960006237030029,
-1.49739776134084E-10,-0.880002498626709,
-1.35884192786762E-10,-0.800007820129395,
-1.20763843369787E-10,-0.719996929168701,
-1.05941921901831E-10,-0.639981269836426,
-8.97557583812159E-11,-0.559999942779541,
-7.46211981095257E-11,-0.479980945587158,
-5.92024207435315E-11,-0.400001764297485,
-4.28315161116188E-11,-0.319981098175049,
-2.6730617719295E-11,-0.239993095397949,
-1.21502807814977E-11,-0.159996271133423,
1.90425453183707E-12,-0.0799953937530518,
1.40119027491892E-11,7.45058059692383E-07,
2.77111666946439E-11,0.0800087451934814,
3.95061761082616E-11,0.160010576248169,
5.23954213349498E-11,0.239998817443848,
6.48299192107515E-11,0.32000732421875,
7.75486341808573E-11,0.400007247924805,
9.10915787244448E-11,0.480005741119385,
1.03668185147399E-10,0.560009002685547,
1.17267973109847E-10,0.640008211135864,
1.30427224576124E-10,0.720009565353394,
1.45760736813827E-10,0.80000638961792,
1.58237867253774E-10,0.880018472671509,
1.73500325217901E-10,0.960005521774292,
1.88364879250003E-10,1.04001641273499,
2.03911554308434E-10,1.12000584602356,
2.21049845094967E-10,1.20001292228699,
2.38074449043779E-10,1.28000712394714,
2.5607960196794E-10,1.36001443862915,
2.74198441729823E-10,1.44001317024231,
2.95102609015885E-10,1.52000617980957,
3.1585045690008E-10,1.60001182556152,
3.37948335982219E-10,1.68001008033752,
3.58994611815433E-10,1.76000678539276,
3.84645204576373E-10,1.84000945091248,
4.09869471695856E-10,1.92000699043274,
4.38589609075279E-10,2.00000810623169,
