Sample Name,IV_curve_3H_XYZL,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,3,s,
Delay Between Measurements,3,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,16/04/26 15:50:01,,
Duration,00:03:04,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-2,0,
Stop,2,N/A,
Step,0.08,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-3.07807113131275E-10,-1.99995899200439,
-3.03217007058265E-10,-1.91998720169067,
-3.00332203551079E-10,-1.8399715423584,
-2.97816882266488E-10,-1.75998687744141,
-2.92573076876579E-10,-1.67997264862061,
-2.85979240288725E-10,-1.59999752044678,
-2.77225353784161E-10,-1.51997661590576,
-2.67760924543836E-10,-1.44000339508057,
-2.56491716754681E-10,-1.35998153686523,
-2.42764031099796E-10,-1.28000354766846,
-2.29434249376936E-10,-1.19999265670776,
-2.15749196286197E-10,-1.12000417709351,
-1.99463556782575E-10,-1.03999757766724,
-1.843432073656E-10,-0.960008144378662,
-1.68341784956283E-10,-0.880003929138184,
-1.51999302033801E-10,-0.800010681152344,
-1.35514710564166E-10,-0.719996452331543,
-1.18106413538044E-10,-0.639984130859375,
-1.00499164545909E-10,-0.560001850128174,
-8.36308799989638E-11,-0.479983329772949,
-6.59099441691069E-11,-0.400003433227539,
-4.78905803902308E-11,-0.31998348236084,
-2.97148972094874E-11,-0.239994287490845,
-1.25481847135234E-11,-0.159997463226318,
3.08375547319883E-12,-0.0799975395202637,
1.95115035239724E-11,8.94069671630859E-07,
3.57260887540178E-11,0.0800085067749023,
5.14859266331769E-11,0.160010099411011,
7.06421587892692E-11,0.23999810218811,
8.98410235095071E-11,0.320005655288696,
1.10901510197436E-10,0.400007247924805,
1.34008359964355E-10,0.480005025863647,
1.58649982040515E-10,0.560007333755493,
1.84229520527879E-10,0.640008449554443,
2.12551753975276E-10,0.720008373260498,
2.40675035456661E-10,0.800005197525024,
2.72734723694157E-10,0.880017518997192,
3.05007574752381E-10,0.960005283355713,
3.38317818204814E-10,1.04001617431641,
3.75464992430352E-10,1.12000727653503,
4.15525391872507E-10,1.2000138759613,
4.54974724561907E-10,1.28000736236572,
4.97408336741501E-10,1.36001491546631,
5.4382098824135E-10,1.44001364707947,
5.8955151871487E-10,1.52000546455383,
6.38408437225735E-10,1.60001039505005,
6.91812829245464E-10,1.6800080537796,
7.47107264942315E-10,1.76000583171844,
8.0233064636559E-10,1.840008020401,
8.66577920533018E-10,1.92000579833984,
9.27329324440507E-10,2.00000762939453,
