Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
5.572249e+00,5.003428e-03,-1.080419e+05,1.080419e+05,1.159027e+01,-6.299292e-03,-5.958785e+00,5.515253e+04
5.690808e+00,0.000000e+00,-1.079573e+05,1.079573e+05,1.158949e+01,-4.472720e-03,-5.958974e+00,5.519753e+04
5.809366e+00,1.164108e-03,-1.078350e+05,1.078350e+05,1.158836e+01,-3.244853e-03,-5.958930e+00,5.525969e+04
5.927925e+00,6.418235e-03,-1.077646e+05,1.077646e+05,1.158770e+01,-2.488884e-03,-5.958731e+00,5.529397e+04
6.046483e+00,2.769894e-03,-1.078206e+05,1.078206e+05,1.158822e+01,-2.580142e-03,-5.958869e+00,5.526649e+04
6.165042e+00,1.131834e-02,-1.078522e+05,1.078522e+05,1.158852e+01,-3.047685e-03,-5.958546e+00,5.524734e+04
6.283600e+00,1.556323e-02,-1.078202e+05,1.078202e+05,1.158822e+01,-3.673764e-03,-5.958386e+00,5.526225e+04
6.402158e+00,1.379117e-02,-1.078064e+05,1.078064e+05,1.158809e+01,-5.012434e-03,-5.958453e+00,5.526992e+04
6.520717e+00,1.159851e-02,-1.076457e+05,1.076457e+05,1.158660e+01,-6.378193e-03,-5.958536e+00,5.535323e+04
6.639275e+00,1.358955e-03,-1.074946e+05,1.074946e+05,1.158520e+01,-6.671649e-03,-5.958922e+00,5.543463e+04
6.757834e+00,3.428986e-04,-1.074331e+05,1.074331e+05,1.158462e+01,-6.060784e-03,-5.958961e+00,5.546669e+04
6.876392e+00,7.406602e-03,-1.073185e+05,1.073185e+05,1.158356e+01,-5.476763e-03,-5.958694e+00,5.552346e+04
6.994951e+00,1.732344e-02,-1.072722e+05,1.072722e+05,1.158312e+01,-4.448953e-03,-5.958319e+00,5.554395e+04
7.113509e+00,2.263547e-02,-1.072842e+05,1.072842e+05,1.158324e+01,-3.508096e-03,-5.958119e+00,5.553586e+04
7.232068e+00,1.682492e-02,-1.072837e+05,1.072837e+05,1.158323e+01,-2.702809e-03,-5.958338e+00,5.553816e+04
7.350626e+00,1.043624e-02,-1.071767e+05,1.071767e+05,1.158223e+01,-1.743418e-03,-5.958579e+00,5.559587e+04
7.469185e+00,6.652583e-03,-1.071180e+05,1.071180e+05,1.158169e+01,-1.685387e-03,-5.958722e+00,5.562767e+04
7.587743e+00,6.742975e-03,-1.071296e+05,1.071296e+05,1.158180e+01,-2.533645e-03,-5.958719e+00,5.562157e+04
7.706302e+00,1.319247e-02,-1.071632e+05,1.071632e+05,1.158211e+01,-3.421396e-03,-5.958475e+00,5.560188e+04
7.824860e+00,1.621016e-02,-1.071864e+05,1.071864e+05,1.158233e+01,-4.208939e-03,-5.958361e+00,5.558876e+04
7.943419e+00,1.453164e-02,-1.070961e+05,1.070961e+05,1.158148e+01,-4.372406e-03,-5.958425e+00,5.563623e+04
8.061977e+00,5.148578e-03,-1.069259e+05,1.069259e+05,1.157989e+01,-4.254196e-03,-5.958779e+00,5.572810e+04
8.180536e+00,4.725562e-03,-1.068171e+05,1.068171e+05,1.157887e+01,-4.008723e-03,-5.958795e+00,5.578503e+04
8.299094e+00,2.096496e-03,-1.067203e+05,1.067203e+05,1.157797e+01,-2.666091e-03,-5.958894e+00,5.583658e+04
8.417653e+00,4.981685e-03,-1.068314e+05,1.068314e+05,1.157901e+01,-1.456563e-03,-5.958785e+00,5.577746e+04
8.536211e+00,1.514240e-02,-1.068719e+05,1.068719e+05,1.157939e+01,-7.642874e-04,-5.958402e+00,5.575272e+04
8.654770e+00,1.252668e-02,-1.068201e+05,1.068201e+05,1.157890e+01,-4.420615e-04,-5.958500e+00,5.578069e+04
8.773328e+00,8.255302e-03,-1.069095e+05,1.069095e+05,1.157974e+01,-5.501141e-04,-5.958662e+00,5.573556e+04
8.891887e+00,1.293325e-02,-1.067919e+05,1.067919e+05,1.157864e+01,-8.352139e-04,-5.958485e+00,5.579527e+04
9.010445e+00,1.925041e-02,-1.067078e+05,1.067078e+05,1.157785e+01,-1.056088e-03,-5.958247e+00,5.583702e+04
9.129004e+00,1.308738e-02,-1.067529e+05,1.067529e+05,1.157827e+01,-1.829008e-03,-5.958479e+00,5.581564e+04
9.247562e+00,4.345697e-03,-1.067638e+05,1.067638e+05,1.157837e+01,-2.415821e-03,-5.958809e+00,5.581301e+04
9.366121e+00,9.453683e-03,-1.068379e+05,1.068379e+05,1.157907e+01,-1.835019e-03,-5.958617e+00,5.577248e+04
9.484679e+00,2.120999e-02,-1.067406e+05,1.067406e+05,1.157816e+01,-1.274814e-03,-5.958173e+00,5.581918e+04
9.603238e+00,1.810078e-02,-1.065627e+05,1.065627e+05,1.157649e+01,-1.286774e-03,-5.958290e+00,5.591349e+04
9.721796e+00,2.404883e-02,-1.065853e+05,1.065853e+05,1.157670e+01,-1.249480e-03,-5.958065e+00,5.589950e+04
9.840355e+00,2.098545e-02,-1.066366e+05,1.066366e+05,1.157718e+01,-1.384865e-03,-5.958181e+00,5.587371e+04
9.958913e+00,1.703056e-02,-1.067112e+05,1.067112e+05,1.157788e+01,-1.118535e-03,-5.958330e+00,5.583603e+04
1.007747e+01,8.818618e-03,-1.066876e+05,1.066876e+05,1.157766e+01,-7.735594e-04,-5.958641e+00,5.585130e+04
1.019603e+01,6.305134e-03,-1.066356e+05,1.066356e+05,1.157717e+01,-1.521429e-03,-5.958735e+00,5.587941e+04
1.031459e+01,1.463092e-02,-1.065599e+05,1.065599e+05,1.157646e+01,-2.322622e-03,-5.958421e+00,5.591616e+04
1.043315e+01,1.161915e-02,-1.064927e+05,1.064927e+05,1.157583e+01,-2.215140e-03,-5.958535e+00,5.595253e+04
1.055171e+01,1.040004e-02,-1.065428e+05,1.065428e+05,1.157630e+01,-1.127950e-03,-5.958581e+00,5.592667e+04
1.067026e+01,1.919671e-02,-1.065085e+05,1.065085e+05,1.157598e+01,4.056966e-04,-5.958249e+00,5.594154e+04
1.078882e+01,1.851533e-02,-1.064565e+05,1.064565e+05,1.157549e+01,1.797507e-03,-5.958274e+00,5.596907e+04
1.090738e+01,1.705282e-02,-1.065324e+05,1.065324e+05,1.157620e+01,2.525018e-03,-5.958330e+00,5.592972e+04
1.102594e+01,1.781431e-02,-1.065989e+05,1.065989e+05,1.157683e+01,2.533111e-03,-5.958301e+00,5.589459e+04
1.114450e+01,1.947289e-02,-1.066850e+05,1.066850e+05,1.157764e+01,2.145355e-03,-5.958238e+00,5.584889e+04
1.126306e+01,1.996806e-02,-1.067224e+05,1.067224e+05,1.157799e+01,7.596311e-04,-5.958219e+00,5.582912e+04
1.138162e+01,2.369168e-02,-1.067128e+05,1.067128e+05,1.157790e+01,-1.544526e-03,-5.958079e+00,5.583285e+04
1.150017e+01,1.984740e-02,-1.066987e+05,1.066987e+05,1.157776e+01,-2.976034e-03,-5.958224e+00,5.584158e+04
1.161873e+01,1.420860e-02,-1.066125e+05,1.066125e+05,1.157696e+01,-4.312713e-03,-5.958437e+00,5.588874e+04
1.173729e+01,1.576829e-02,-1.064837e+05,1.064837e+05,1.157575e+01,-5.271683e-03,-5.958378e+00,5.595580e+04
1.185585e+01,1.785033e-02,-1.063685e+05,1.063685e+05,1.157466e+01,-5.371141e-03,-5.958299e+00,5.601563e+04
1.197441e+01,1.870699e-02,-1.064168e+05,1.064168e+05,1.157512e+01,-4.458918e-03,-5.958267e+00,5.598990e+04
1.209297e+01,1.796862e-02,-1.063230e+05,1.063230e+05,1.157424e+01,-2.743656e-03,-5.958295e+00,5.603957e+04
1.221152e+01,1.983988e-02,-1.062183e+05,1.062183e+05,1.157325e+01,-6.924675e-04,-5.958224e+00,5.609416e+04
1.233008e+01,2.038329e-02,-1.062176e+05,1.062176e+05,1.157325e+01,9.307693e-04,-5.958204e+00,5.609430e+04
1.244864e+01,1.398426e-02,-1.062948e+05,1.062948e+05,1.157397e+01,1.329264e-03,-5.958445e+00,5.605583e+04
1.256720e+01,1.341924e-02,-1.063599e+05,1.063599e+05,1.157458e+01,1.730539e-03,-5.958467e+00,5.602172e+04
1.268576e+01,1.528224e-02,-1.064464e+05,1.064464e+05,1.157540e+01,1.467132e-03,-5.958396e+00,5.597554e+04
1.280432e+01,1.518080e-02,-1.064848e+05,1.064848e+05,1.157576e+01,-1.287259e-04,-5.958400e+00,5.595540e+04
1.292288e+01,1.956633e-02,-1.063972e+05,1.063972e+05,1.157493e+01,-1.580606e-03,-5.958235e+00,5.599991e+04
1.304143e+01,1.788643e-02,-1.063445e+05,1.063445e+05,1.157444e+01,-1.715122e-03,-5.958298e+00,5.602824e+04
1.315999e+01,1.648335e-02,-1.063180e+05,1.063180e+05,1.157419e+01,-1.065234e-03,-5.958351e+00,5.604271e+04
1.327855e+01,1.629524e-02,-1.061959e+05,1.061959e+05,1.157304e+01,1.143728e-04,-5.958358e+00,5.610723e+04
1.339711e+01,2.357932e-02,-1.062183e+05,1.062183e+05,1.157325e+01,1.510118e-03,-5.958083e+00,5.609281e+04
1.351567e+01,2.340369e-02,-1.063709e+05,1.063709e+05,1.157469e+01,1.920376e-03,-5.958090e+00,5.601238e+04
1.363423e+01,7.068080e-03,-1.064570e+05,1.064570e+05,1.157550e+01,1.708522e-03,-5.958707e+00,5.597290e+04
1.375278e+01,1.431404e-02,-1.064734e+05,1.064734e+05,1.157565e+01,8.370427e-04,-5.958433e+00,5.596171e+04
1.387134e+01,2.249511e-02,-1.064731e+05,1.064731e+05,1.157565e+01,-1.984745e-03,-5.958124e+00,5.595898e+04
1.398990e+01,2.172419e-02,-1.063931e+05,1.063931e+05,1.157490e+01,-5.446099e-03,-5.958153e+00,5.600132e+04
1.410846e+01,1.844740e-02,-1.063402e+05,1.063402e+05,1.157440e+01,-7.163451e-03,-5.958277e+00,5.603033e+04
1.422702e+01,1.736981e-02,-1.062476e+05,1.062476e+05,1.157353e+01,-7.256381e-03,-5.958318e+00,5.607956e+04
1.434558e+01,1.756149e-02,-1.060144e+05,1.060144e+05,1.157133e+01,-6.874704e-03,-5.958310e+00,5.620286e+04
1.446414e+01,1.046143e-02,-1.058207e+05,1.058207e+05,1.156950e+01,-5.082009e-03,-5.958578e+00,5.630827e+04
1.458269e+01,1.814257e-02,-1.058597e+05,1.058597e+05,1.156987e+01,-1.822542e-03,-5.958288e+00,5.628477e+04
1.470125e+01,2.106436e-02,-1.059310e+05,1.059310e+05,1.157054e+01,2.294751e-03,-5.958178e+00,5.624582e+04
1.481981e+01,1.533361e-02,-1.058689e+05,1.058689e+05,1.156996e+01,5.508216e-03,-5.958394e+00,5.628088e+04
