Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
6.396979e+00,2.573095e-01,2.769104e+01,2.769104e+01,3.321109e+00,1.794780e-03
6.495394e+00,2.655901e-01,2.821924e+01,2.821924e+01,3.340004e+00,-1.318621e-03
6.593809e+00,2.210837e-01,2.809231e+01,2.809231e+01,3.335496e+00,-9.953100e-03
6.692224e+00,2.430216e-01,2.812273e+01,2.812273e+01,3.336578e+00,-1.275043e-02
6.790639e+00,2.701655e-01,2.785499e+01,2.785499e+01,3.327012e+00,-1.766867e-02
6.889054e+00,2.753489e-01,2.779608e+01,2.779608e+01,3.324895e+00,-2.933490e-02
6.987469e+00,2.515940e-01,2.743071e+01,2.743071e+01,3.311663e+00,-2.160555e-02
7.085884e+00,2.627013e-01,2.779226e+01,2.779226e+01,3.324758e+00,-9.074564e-03
7.184299e+00,2.753852e-01,2.769628e+01,2.769628e+01,3.321298e+00,2.850411e-03
7.282714e+00,2.686512e-01,2.758012e+01,2.758012e+01,3.317095e+00,5.696355e-03
7.381129e+00,3.044459e-01,2.769093e+01,2.769093e+01,3.321105e+00,1.278284e-02
7.479544e+00,2.565972e-01,2.791331e+01,2.791331e+01,3.329104e+00,1.028574e-02
7.577959e+00,2.643355e-01,2.780618e+01,2.780618e+01,3.325258e+00,1.582572e-02
7.676374e+00,2.594586e-01,2.768756e+01,2.768756e+01,3.320983e+00,1.170203e-02
7.774789e+00,2.679394e-01,2.789318e+01,2.789318e+01,3.328382e+00,1.219535e-03
7.873204e+00,2.983400e-01,2.798438e+01,2.798438e+01,3.331646e+00,-8.345582e-03
7.971620e+00,2.639996e-01,2.799815e+01,2.799815e+01,3.332139e+00,-2.660536e-02
8.070035e+00,2.721842e-01,2.777239e+01,2.777239e+01,3.324042e+00,-4.497212e-02
8.168450e+00,2.601311e-01,2.767682e+01,2.767682e+01,3.320595e+00,-6.614416e-02
8.266865e+00,2.680485e-01,2.759990e+01,2.759990e+01,3.317812e+00,-8.044823e-02
8.365280e+00,2.749046e-01,2.695464e+01,2.695464e+01,3.294155e+00,-7.514683e-02
8.463695e+00,2.521717e-01,2.684467e+01,2.684467e+01,3.290067e+00,-6.098874e-02
8.562110e+00,2.690505e-01,2.664155e+01,2.664155e+01,3.282472e+00,-4.236637e-02
8.660525e+00,2.831241e-01,2.640977e+01,2.640977e+01,3.273734e+00,-2.007618e-02
8.758940e+00,2.676255e-01,2.670722e+01,2.670722e+01,3.284934e+00,-4.869165e-03
