Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
0.000000e+00,9.090053e-01,-4.640541e-01,4.640541e-01,-7.677541e-01,7.924126e-02
9.124871e-02,6.540146e-01,-4.717799e-01,4.717799e-01,-7.512428e-01,5.865098e-02
1.824974e-01,7.533778e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,4.501328e-02
2.737461e-01,4.976432e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.557979e-02
3.649948e-01,6.009955e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.880551e-02
4.562435e-01,8.575503e-02,-4.779983e-01,4.779983e-01,-7.381481e-01,9.567049e-03
5.474923e-01,0.000000e+00,-4.779983e-01,4.779983e-01,-7.381481e-01,2.015926e-16
6.387410e-01,5.580768e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.979226e-16
7.299897e-01,8.251467e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.829809e-16
8.212384e-01,9.305797e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-8.904165e-17
9.124871e-01,9.302295e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,5.491524e-17
1.003736e+00,8.655695e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-6.364493e-17
1.094985e+00,7.842539e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.842043e-16
1.186233e+00,8.800118e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-3.781795e-16
1.277482e+00,8.695637e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.897514e-16
1.368731e+00,8.318081e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.946967e-16
1.459979e+00,9.133473e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.128437e-16
1.551228e+00,9.821457e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.319837e-16
1.642477e+00,9.879346e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-1.341662e-17
1.733725e+00,8.012797e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.235686e-16
1.824974e+00,8.771355e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-3.464640e-16
1.916223e+00,9.254516e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.418160e-16
2.007472e+00,8.710655e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.095664e-16
2.098720e+00,9.152723e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.200787e-16
2.189969e+00,9.715963e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.316006e-16
2.281218e+00,9.952342e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-1.065282e-16
2.372466e+00,9.550199e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,5.275189e-17
2.463715e+00,9.632782e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.428001e-16
2.554964e+00,9.906471e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-1.352743e-16
2.646213e+00,9.973132e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.132028e-17
2.737461e+00,9.100889e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.395146e-16
2.828710e+00,8.419104e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-3.436583e-16
2.919959e+00,8.799638e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.703244e-16
3.011207e+00,9.630267e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.595969e-16
3.102456e+00,8.736999e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.625380e-17
3.193705e+00,9.149343e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.078296e-16
3.284954e+00,9.851424e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.896095e-16
3.376202e+00,9.615668e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.540482e-16
3.467451e+00,9.569117e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-3.809214e-16
3.558700e+00,9.340796e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,4.993820e-17
3.649948e+00,9.527593e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.915296e-16
3.741197e+00,9.195083e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-3.874650e-17
3.832446e+00,9.554241e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.260837e-16
3.923694e+00,9.710279e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-1.440928e-17
4.014943e+00,9.799010e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.968998e-16
4.106192e+00,9.966762e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.011809e-16
4.197441e+00,9.743014e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,8.655447e-17
4.288689e+00,9.847810e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,3.975106e-16
4.379938e+00,9.130821e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-2.696891e-16
4.471187e+00,9.388635e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,1.921443e-16
4.562435e+00,9.953915e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,-5.151065e-17
4.653684e+00,9.225952e-01,-4.779983e-01,4.779983e-01,-7.381481e-01,2.823428e-16
