Sample Name,IV_curve_3H_XYZL,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,3,s,
Delay Between Measurements,3,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,16/04/26 17:12:12,,
Duration,00:02:56,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-2,0,
Stop,2,N/A,
Step,0.08,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-2.02732053367072E-10,-1.99995708465576,
-1.97118765754567E-10,-1.91998672485352,
-1.93750793187064E-10,-1.83997011184692,
-1.91619164979784E-10,-1.75998783111572,
-1.87597493095382E-10,-1.67997217178345,
-1.82581061380915E-10,-1.59999513626099,
-1.7655565898167E-10,-1.51997709274292,
-1.69904978974955E-10,-1.44000244140625,
-1.62430069394759E-10,-1.35997867584229,
-1.54571466737252E-10,-1.28000259399414,
-1.45846001942118E-10,-1.1999888420105,
-1.38001610139327E-10,-1.12000131607056,
-1.28537180899002E-10,-1.0399956703186,
-1.19385390462412E-10,-0.960007190704346,
-1.10716769086139E-10,-0.880002975463867,
-1.00698116511921E-10,-0.800009727478027,
-9.09068376131472E-11,-0.719995975494385,
-8.09166067483602E-11,-0.6399827003479,
-7.12958581061685E-11,-0.559999942779541,
-6.12914163866662E-11,-0.479982376098633,
-5.18980414199177E-11,-0.400002956390381,
-4.11404244005098E-11,-0.319982290267944,
-3.07949221678427E-11,-0.239995002746582,
-1.98241423277068E-11,-0.159998655319214,
-1.01607611213694E-11,-0.07999587059021,
1.25055521493778E-12,1.19209289550781E-06,
1.18660636871937E-11,0.0800082683563232,
2.29221086556208E-11,0.160010099411011,
3.54845042238594E-11,0.239997625350952,
4.72937244921923E-11,0.320006847381592,
6.16040551904007E-11,0.400007009506226,
7.59570184527547E-11,0.480007410049438,
9.09778918867232E-11,0.560008764266968,
1.07817754724238E-10,0.640007019042969,
1.24700250125898E-10,0.720010042190552,
1.42364342536894E-10,0.800006151199341,
1.60966351359093E-10,0.880016803741455,
1.8046364402835E-10,0.960005283355713,
2.00003569261753E-10,1.04001569747925,
2.21120899368543E-10,1.12000560760498,
2.42508235714922E-10,1.20001435279846,
2.6419400001032E-10,1.28000831604004,
2.87684542854549E-10,1.36001491546631,
3.11018766296911E-10,1.44001293182373,
3.35944605467375E-10,1.52000665664673,
3.62078367288632E-10,1.60001015663147,
3.88723719879636E-10,1.68000841140747,
4.16008560932823E-10,1.76000618934631,
4.44529746346234E-10,1.84000957012177,
4.73505679110531E-10,1.92000603675842,
5.04968511449988E-10,2.00000834465027,
